WKT,color
"LINESTRING (11.005522765992 49.594916546300,11.005627045808 49.594882828427)",ff7cff79
"LINESTRING (11.005522765992 49.594916546300,11.005627045808 49.594882828427)",ff0aff04
"LINESTRING (11.005522765992 49.594916546300,11.005447476359 49.594941665431)",ff0aff04
"LINESTRING (11.005522765992 49.594916546300,11.005508258320 49.594950811572)",ff0aff04
"LINESTRING (11.005508258320 49.594950811572,11.005447476359 49.594941665431)",ff0aff04
"LINESTRING (11.005508258320 49.594950811572,11.005522765992 49.594916546300)",ff0aff04
"LINESTRING (11.034815238260 49.591138425180,11.034688136607 49.591140778651)",ff0aff04
"LINESTRING (11.034815238260 49.591138425180,11.034862524206 49.591156311612)",ff0aff04
"LINESTRING (11.034815238260 49.591138425180,11.034804856712 49.591176683461)",ff0aff04
"LINESTRING (11.034815238260 49.591138425180,11.035051853818 49.591196700866)",ff0aff04
"LINESTRING (11.034815238260 49.591138425180,11.034869316514 49.591122437390)",ff0aff04
"LINESTRING (11.041360103678 49.653638360138,11.041361437597 49.653677348774)",ff0aff04
"LINESTRING (11.041360103678 49.653638360138,11.041312129660 49.653690546021)",ff0aff04
"LINESTRING (11.041360103678 49.653638360138,11.041315571806 49.653656308434)",ff0aff04
"LINESTRING (11.041361437597 49.653677348774,11.041360103678 49.653638360138)",ff0aff04
"LINESTRING (11.041361437597 49.653677348774,11.041312129660 49.653690546021)",ff0aff04
"LINESTRING (11.041361437597 49.653677348774,11.041315571806 49.653656308434)",ff0aff04
"LINESTRING (10.078316024579 49.139406582068,10.078174930954 49.139312572247)",ff0aff04
"LINESTRING (10.078316024579 49.139406582068,10.078261480686 49.139316214553)",ff79ebff
"LINESTRING (10.078316024579 49.139406582068,10.078261480686 49.139316214553)",ff0aff04
"LINESTRING (10.515627113639 50.026398888728,10.515629101714 50.026300890994)",ff0aff04
"LINESTRING (10.515627113639 50.026398888728,10.515552004599 50.026455164728)",ff0aff04
"LINESTRING (10.515627113639 50.026398888728,10.515770947097 50.026235582881)",ff7cff79
"LINESTRING (10.515627113639 50.026398888728,10.515806685094 50.026254851403)",ff0aff04
"LINESTRING (11.035051853818 49.591196700866,11.034688136607 49.591140778651)",ff0aff04
"LINESTRING (11.035051853818 49.591196700866,11.034862524206 49.591156311612)",ff0aff04
"LINESTRING (11.035051853818 49.591196700866,11.034815238260 49.591138425180)",ff0aff04
"LINESTRING (11.035051853818 49.591196700866,11.034804856712 49.591176683461)",ff0aff04
"LINESTRING (11.035051853818 49.591196700866,11.034869316514 49.591122437390)",ff7cff79
"LINESTRING (11.041315571806 49.653656308434,11.041361437597 49.653677348774)",ff0aff04
"LINESTRING (11.041315571806 49.653656308434,11.041360103678 49.653638360138)",ff0aff04
"LINESTRING (11.041315571806 49.653656308434,11.041312129660 49.653690546021)",ff7cff79
"LINESTRING (10.986885822810 49.479674291078,10.986920790328 49.479875247205)",ff7cff79
"LINESTRING (11.034869316514 49.591122437390,11.034688136607 49.591140778651)",ff7cff79
"LINESTRING (11.034869316514 49.591122437390,11.034862524206 49.591156311612)",ff0aff04
"LINESTRING (11.034869316514 49.591122437390,11.034815238260 49.591138425180)",ff0aff04
"LINESTRING (11.034869316514 49.591122437390,11.034804856712 49.591176683461)",ff0aff04
"LINESTRING (11.034869316514 49.591122437390,11.035051853818 49.591196700866)",ff0aff04
"LINESTRING (11.326238885805 49.198172658258,11.327209742509 49.198556231336)",ff53acff
"LINESTRING (11.326238885805 49.198172658258,11.326827716924 49.198260975009)",ff7cff79
"LINESTRING (11.326238885805 49.198172658258,11.327319619653 49.198486843110)",ff53acff
"LINESTRING (11.326238885805 49.198172658258,11.326796864332 49.198226391802)",ff0aff04
"LINESTRING (12.875266516523 47.722319513409,12.876126614774 47.722415519591)",ff53acff
"LINESTRING (11.929777826066 49.547877077487,11.929843231235 49.547945365191)",ff0aff04
"LINESTRING (11.929777826066 49.547877077487,11.929843231235 49.547945365191)",ff0aff04
"LINESTRING (11.929777826066 49.547877077487,11.929869021172 49.547872183033)",ff0aff04
"LINESTRING (11.929777826066 49.547877077487,11.929869021172 49.547872183033)",ff0aff04
"LINESTRING (11.929843231235 49.547945365191,11.929869021172 49.547872183033)",ff0aff04
"LINESTRING (11.929843231235 49.547945365191,11.929869021172 49.547872183033)",ff0aff04
"LINESTRING (11.929843231235 49.547945365191,11.929777826066 49.547877077487)",ff0aff04
"LINESTRING (11.929843231235 49.547945365191,11.929777826066 49.547877077487)",ff0aff04
"LINESTRING (11.021577578889 49.551923699297,11.021630480652 49.551938733518)",ff0aff04
"LINESTRING (12.981615148435 47.841185174490,12.981502560336 47.841011714516)",ff7cff79
"LINESTRING (10.963592784426 49.597167763181,10.963566898789 49.597101500856)",ff0aff04
"LINESTRING (10.515770947097 50.026235582881,10.515629101714 50.026300890994)",ff0aff04
"LINESTRING (10.515770947097 50.026235582881,10.516281088853 50.025988071795)",ff0aff04
"LINESTRING (10.515770947097 50.026235582881,10.515627113639 50.026398888728)",ff0aff04
